center,is_twin_center,core_gc_spectral_gap,core_gc_entropy,core_edges,core_gc_fraction
4194,0,1.0,0.6365141682948128,9.0,0.04918032786885246
4896,0,1.0,0.6365141682948128,7.0,0.04918032786885246
5556,0,1.0,0.6365141682948128,6.0,0.04918032786885246
5088,0,1.0,0.6365141682948128,5.0,0.04918032786885246
6738,0,1.0,0.6365141682948128,6.0,0.04918032786885246
4086,0,1.0,0.6365141682948128,7.0,0.04918032786885246
5208,0,1.0,1.0397207708399179,7.0,0.06557377049180328
4794,0,1.0,0.6365141682948128,7.0,0.04918032786885246
4614,0,1.0,0.6365141682948128,10.0,0.04918032786885246
7350,1,1.0,0.6365141682948128,4.0,0.04918032786885246
8430,1,1.0,0.6365141682948128,2.0,0.04918032786885246
4626,0,1.0,0.6365141682948128,8.0,0.04918032786885246
7686,0,1.0,0.6365141682948128,2.0,0.04918032786885246
5406,0,1.0,0.6365141682948128,3.0,0.04918032786885246
5430,0,1.0,0.6365141682948128,9.0,0.04918032786885246
6390,0,1.0,0.6365141682948128,5.0,0.04918032786885246
3630,0,0.7712864461218307,1.047755105464942,13.0,0.06557377049180328
3186,0,0.565741454089335,1.3022435533711254,12.0,0.08196721311475409
3282,0,0.5657414540893348,1.3022435533711254,17.0,0.08196721311475409
3780,0,0.5657414540893348,1.3022435533711254,11.0,0.08196721311475409
4050,1,0.5000000000000001,1.313834033192747,13.0,0.08196721311475409
7068,0,0.5,0.9743147528693494,4.0,0.06557377049180328
4788,1,0.5,0.9743147528693494,8.0,0.06557377049180328
3648,0,0.4999999999999998,0.9743147528693494,12.0,0.06557377049180328
2712,1,0.4264852943382419,1.54306966993517,24.0,0.09836065573770492
2346,0,0.30155739418092287,1.5043021882856005,25.0,0.09836065573770492
1824,0,0.3002221353274716,1.866804995189149,40.0,0.13114754098360656
4350,0,0.2928932188134523,1.4720659977752126,12.0,0.09836065573770492
3396,0,0.2928932188134521,1.4720659977752124,13.0,0.09836065573770492
3570,0,0.2928932188134521,1.4720659977752124,17.0,0.09836065573770492
