budget,method,yield,yield_ci,bad_tests,bad_tests_ci,bad_tests_avoided,saved_1.0,saved_3600.0,saved_86400.0
0.001,random,0.9013333333333332,0.01067227789979346,0.9866666666666667,0.10672277899793461,0.0,0.0,0.0,0.0
0.001,m18,0.8,0.0,2,0.0,-1.0133333333333332,-1.0133333333333332,-3647.9999999999995,-87551.99999999999
0.001,m21,1.0,0.0,0,0.0,0.9866666666666667,0.9866666666666667,3552.0,85248.0
0.001,m22,1.0,0.0,0,0.0,0.9866666666666667,0.9866666666666667,3552.0,85248.0
0.002,random,0.8987719298245614,0.007742009136021573,1.9233333333333333,0.1470981735844099,0.0,0.0,0.0,0.0
0.002,m18,0.8421052631578947,0.0,3,0.0,-1.0766666666666667,-1.0766666666666667,-3876.0,-93024.0
0.002,m21,1.0,0.0,0,0.0,1.9233333333333333,1.9233333333333333,6924.0,166176.0
0.002,m22,1.0,0.0,0,0.0,1.9233333333333333,1.9233333333333333,6924.0,166176.0
0.005,random,0.9004861111111112,0.0049908779949145434,4.776666666666666,0.2395621437558981,0.0,0.0,0.0,0.0
0.005,m18,0.9166666666666666,0.0,4,0.0,0.7766666666666664,0.7766666666666664,2795.999999999999,67103.99999999997
0.005,m21,1.0,0.0,0,0.0,4.776666666666666,4.776666666666666,17196.0,412704.0
0.005,m22,1.0,0.0,0,0.0,4.776666666666666,4.776666666666666,17196.0,412704.0
0.01,random,0.9001041666666667,0.0034830225663889584,9.59,0.3343701663733401,0.0,0.0,0.0,0.0
0.01,m18,0.90625,0.0,9,0.0,0.5899999999999999,0.5899999999999999,2123.9999999999995,50975.999999999985
0.01,m21,1.0,0.0,0,0.0,9.59,9.59,34524.0,828576.0
0.01,m22,1.0,0.0,0,0.0,9.59,9.59,34524.0,828576.0
0.02,random,0.8974305555555554,0.0025795980395531826,19.69333333333333,0.49528282359421116,0.0,0.0,0.0,0.0
0.02,m18,0.8854166666666666,0.0,22,0.0,-2.3066666666666684,-2.3066666666666684,-8304.000000000005,-199296.00000000015
0.02,m21,1.0,0.0,0,0.0,19.69333333333333,19.69333333333333,70896.0,1701503.9999999998
0.02,m22,1.0,0.0,0,0.0,19.69333333333333,19.69333333333333,70896.0,1701503.9999999998
0.05,random,0.8980416666666667,0.0014683425665874834,48.94,0.704804431961992,0.0,0.0,0.0,0.0
0.05,m18,0.88125,0.0,57,0.0,-8.060000000000002,-8.060000000000002,-29016.000000000007,-696384.0000000002
0.05,m21,1.0,0.0,0,0.0,48.94,48.94,176184.0,4228416.0
0.05,m22,1.0,0.0,0,0.0,48.94,48.94,176184.0,4228416.0
0.1,random,0.8997045533541884,0.001042379250212685,96.18333333333334,0.9996417009539662,0.0,0.0,0.0,0.0
0.1,m18,0.8915537017726799,0.0,104,0.0,-7.816666666666663,-7.816666666666663,-28139.999999999985,-675359.9999999997
0.1,m21,1.0,0.0,0,0.0,96.18333333333334,96.18333333333334,346260.0,8310240.0
0.1,m22,1.0,0.0,0,0.0,96.18333333333334,96.18333333333334,346260.0,8310240.0
