budget,method,n_selected,yield,yield_ci_low,yield_ci_high,bad_tests,bad_tests_ci_low,bad_tests_ci_high,bad_tests_avoided_vs_random,saved_sec_cost1,saved_sec_cost3600,saved_sec_cost86400
0.001,random,18,0.8651851851851852,0.8559919338709988,0.8743784364993715,2.4266666666666667,2.2611881430113123,2.592145190322021,0.0,0.0,0.0,0.0
0.001,m18,18,0.7222222222222222,,,5,,,-2.5733333333333333,-2.5733333333333333,-9264.0,-222336.0
0.001,m21,18,1.0,,,0,,,2.4266666666666667,2.4266666666666667,8736.0,209664.0
0.001,m22,18,1.0,,,0,,,2.4266666666666667,2.4266666666666667,8736.0,209664.0
0.002,random,36,0.8580555555555555,0.8519302739993418,0.8641808371117691,5.11,4.88948986397631,5.33051013602369,0.0,0.0,0.0,0.0
0.002,m18,36,0.8333333333333334,,,6,,,-0.8899999999999997,-0.8899999999999997,-3203.9999999999986,-76895.99999999997
0.002,m21,36,1.0,,,0,,,5.11,5.11,18396.0,441504.0
0.002,m22,36,1.0,,,0,,,5.11,5.11,18396.0,441504.0
0.005,random,90,0.8621481481481481,0.8580345812306062,0.86626171506569,12.406666666666666,12.036445644087895,12.776887689245438,0.0,0.0,0.0,0.0
0.005,m18,90,0.8666666666666667,,,12,,,0.4066666666666663,0.4066666666666663,1463.9999999999986,35135.99999999997
0.005,m21,90,1.0,,,0,,,12.406666666666666,12.406666666666666,44664.0,1071936.0
0.005,m22,90,1.0,,,0,,,12.406666666666666,12.406666666666666,44664.0,1071936.0
0.01,random,180,0.8595555555555556,0.8568650239520618,0.8622460871590495,25.28,24.795704311371114,25.764295688628888,0.0,0.0,0.0,0.0
0.01,m18,180,0.8555555555555555,,,26,,,-0.7199999999999989,-0.7199999999999989,-2591.999999999996,-62207.9999999999
0.01,m21,180,1.0,,,0,,,25.28,25.28,91008.0,2184192.0
0.01,m22,180,1.0,,,0,,,25.28,25.28,91008.0,2184192.0
0.02,random,360,0.8594074074074073,0.8573863124022574,0.8614285024125572,50.61333333333334,49.885739131479355,51.34092753518732,0.0,0.0,0.0,0.0
0.02,m18,360,0.8444444444444444,,,56,,,-5.386666666666663,-5.386666666666663,-19391.99999999999,-465407.9999999997
0.02,m21,360,1.0,,,0,,,50.61333333333334,50.61333333333334,182208.0,4372992.0
0.02,m22,360,1.0,,,0,,,50.61333333333334,50.61333333333334,182208.0,4372992.0
0.05,random,899,0.8602298850574713,0.8590314004852644,0.8614283696296783,125.65333333333334,124.57589570291931,126.73077096374736,0.0,0.0,0.0,0.0
0.05,m18,899,0.8264738598442715,,,156,,,-30.346666666666664,-30.346666666666664,-109247.99999999999,-2621952.0
0.05,m21,899,1.0,,,0,,,125.65333333333334,125.65333333333334,452352.0,10856448.0
0.05,m22,899,1.0,,,0,,,125.65333333333334,125.65333333333334,452352.0,10856448.0
0.1,random,1798,0.8594364108268447,0.8585538912360903,0.8603189304175992,252.73333333333332,251.1465631091569,254.32010355750975,0.0,0.0,0.0,0.0
0.1,m18,1798,0.82146829810901,,,321,,,-68.26666666666668,-68.26666666666668,-245760.00000000006,-5898240.000000001
0.1,m21,1798,1.0,,,0,,,252.73333333333332,252.73333333333332,909840.0,21836160.0
0.1,m22,1798,1.0,,,0,,,252.73333333333332,252.73333333333332,909840.0,21836160.0
0.2,random,3597,0.8602659623760541,0.8596789352056657,0.8608529895464425,502.62333333333333,500.5117966014464,504.73487006522026,0.0,0.0,0.0,0.0
0.2,m18,3597,0.8365304420350292,,,588,,,-85.37666666666667,-85.37666666666667,-307356.0,-7376544.0
0.2,m21,3597,1.0,,,0,,,502.62333333333333,502.62333333333333,1809444.0,43426656.0
0.2,m22,3597,1.0,,,0,,,502.62333333333333,502.62333333333333,1809444.0,43426656.0
0.5,random,8992,0.8600289145907474,0.859710423137099,0.8603474060443957,1258.62,1255.7561248487941,1261.4838751512057,0.0,0.0,0.0,0.0
0.5,m18,8992,0.8576512455516014,,,1280,,,-21.38000000000011,-21.38000000000011,-76968.0000000004,-1847232.0000000093
0.5,m21,8992,0.9903247330960854,,,87,,,1171.62,1171.62,4217832.0,101227967.99999999
0.5,m22,8992,0.9903247330960854,,,87,,,1171.62,1171.62,4217832.0,101227967.99999999
