N_passes_tf,N_test,auc,base_rate,enrichment@1pct,enrichment@5pct,note,p_range,seed,tf_q_limit
1524,305,0.5121343303161485,0.20655737704918034,1.6137566137566135,1.291005291005291,,100000-120000,123,1000000
1524,305,0.531732095823404,0.21967213114754097,3.0348258706467663,0.9104477611940299,,100000-120000,456,1000000
1524,305,0.4650537634408602,0.20327868852459016,0.0,1.639784946236559,,100000-120000,789,1000000
1474,295,0.47095680377414123,0.19322033898305085,1.725146198830409,0.6900584795321637,,100000-120000,123,2000000
1474,295,0.5438988095238095,0.21694915254237288,1.5364583333333333,1.2291666666666667,,100000-120000,456,2000000
1474,295,0.514280303030303,0.1864406779661017,3.5757575757575757,1.0727272727272728,,100000-120000,789,2000000
1410,282,0.45185185185185184,0.1595744680851064,2.0888888888888886,0.8952380952380952,,100000-120000,123,5000000
1410,282,0.5246171652421653,0.1702127659574468,3.9166666666666665,2.098214285714286,,100000-120000,456,5000000
1410,282,0.4793662490788504,0.16312056737588654,0.0,0.8757763975155278,,100000-120000,789,5000000
1350,270,0.507851445663011,0.1259259259259259,0.0,1.7016806722689077,,100000-120000,123,10000000
1350,270,0.5188902007083825,0.1037037037037037,0.0,2.066326530612245,,100000-120000,456,10000000
1350,270,0.5500685871056241,0.1,0.0,0.7142857142857142,,100000-120000,789,10000000
1557,311,0.5530034254954734,0.21543408360128619,0.0,0.5802238805970149,,200000-220000,123,1000000
1557,311,0.5073159219634991,0.27009646302250806,1.234126984126984,0.2313988095238095,,200000-220000,456,1000000
1557,311,0.49708485163977095,0.2733118971061093,0.0,1.3720588235294118,,200000-220000,789,1000000
1479,296,0.5079592606563561,0.1858108108108108,0.0,1.0763636363636364,,200000-220000,123,2000000
1479,296,0.5120967741935484,0.16216216216216217,2.0555555555555554,0.8222222222222222,,200000-220000,456,2000000
1479,296,0.4850818452380952,0.1891891891891892,1.7619047619047616,1.0571428571428572,,200000-220000,789,2000000
1415,283,0.4930717054263566,0.1519434628975265,2.193798449612403,0.9401993355481727,,200000-220000,123,5000000
1415,283,0.5470953777405391,0.2332155477031802,1.4292929292929293,0.6125541125541125,,200000-220000,456,5000000
1415,283,0.5139122315592903,0.15901060070671377,4.192592592592592,1.3476190476190477,,200000-220000,789,5000000
1360,272,0.5295667447306791,0.10294117647058823,0.0,0.0,,200000-220000,123,10000000
1360,272,0.46393229166666666,0.11764705882352941,0.0,0.0,,200000-220000,456,10000000
1360,272,0.41207219104214815,0.14338235294117646,0.0,0.4981684981684982,,200000-220000,789,10000000
