p_range,tf_q_limit,N_seeds,N_test_total,base_rate_mean,base_rate_ci_low,base_rate_ci_high,auc_mean,auc_ci_low,auc_ci_high,enrichment@1pct_mean,enrichment@1pct_ci_low,enrichment@1pct_ci_high,enrichment@5pct_mean,enrichment@5pct_ci_low,enrichment@5pct_ci_high
100000-220000,1000000,10,18540,0.23597626752966558,0.23024946062567422,0.2424514563106796,0.5235081236447986,0.5135121817479147,0.5329421371633236,1.168234749034749,0.9233278454690874,1.444772940275878,1.1382857142857141,1.0390410184532708,1.2594718265019842
100000-220000,2000000,10,17670,0.19711375212224108,0.19100169779286927,0.20271788341822297,0.49908485203817815,0.48936962170167864,0.5100800874312779,0.9171910052214874,0.6534014600349833,1.2419011880671644,0.9641399791878588,0.8165611612874819,1.0596741582843714
100000-220000,5000000,10,16820,0.1532104637336504,0.1472636741973841,0.15879904875148632,0.5066419899340705,0.4945070203380594,0.5174963209303498,0.8547221760260177,0.7312045489033526,1.4240601737372744,1.0244470314318976,0.8908984191950392,1.2184517678692026
100000-220000,10000000,10,16100,0.1162111801242236,0.11124223602484472,0.1209332298136646,0.4948334975367978,0.48097832832250853,0.5078005942734072,1.0154997327632282,0.6294740118269531,1.43252224035374,1.0048102618920365,0.8586863787599479,1.2378953303603466
300000-420000,1000000,10,17880,0.2151006711409396,0.20922678970917227,0.2207508389261745,0.51393124201525,0.5037148403399428,0.5242325079231167,1.3765153958113634,0.887304215612202,1.490156845332632,1.0556422256890277,0.930585313907936,1.1896361410400738
300000-420000,2000000,10,17730,0.2063169768753525,0.2,0.21207134799774394,0.5119779698160922,0.5011204785182012,0.5218212751577882,1.013196059715877,0.7201659155753666,1.29168001782106,0.9354647409987324,0.8661011812406745,1.099354086615896
300000-420000,5000000,10,16630,0.15862898376428142,0.15309530968129886,0.16458659049909802,0.5002398478758142,0.48884073926776056,0.5109202979357864,0.9114243174365392,0.7717160408047443,1.5242509988412716,0.9774258981162885,0.8362004604864138,1.136310692924113
300000-420000,10000000,10,15920,0.11940954773869347,0.11444723618090452,0.12412060301507538,0.5048926423180324,0.4908566777500483,0.5175168839849481,1.2114114054502925,0.6301304859023524,1.4637148231600874,1.073119410836402,0.8779901506964005,1.2480499999999999
pooled,1000000,10,36420,0.2257276221856123,0.22149848984074685,0.22982084019769358,0.5193916976120921,0.5129032332402436,0.5265937547684509,1.2779186511092604,1.0967709423849792,1.4957532999545409,1.2212626201192072,1.121805291535957,1.2997997349912869
pooled,2000000,10,35400,0.2017231638418079,0.19751412429378531,0.2057909604519774,0.5038818291913688,0.4963997141972682,0.51136919387143,0.8122111749054753,0.7166857124910007,1.1084763446506445,0.9354432152359614,0.8554669836969412,1.0272743100370487
pooled,5000000,10,33450,0.15590433482810165,0.15216741405082213,0.15952167414050822,0.5030994592195587,0.49507046247986525,0.5117739127106811,1.0562288653756724,0.7723130950360702,1.2713525304893245,1.0127668163697834,0.9046634161115039,1.1264790750347962
pooled,10000000,10,32020,0.11780137414116178,0.11420986883198002,0.12148657089319176,0.4980192715527041,0.487955367457376,0.5071046870672163,1.0345804612937433,0.714844612546027,1.2895375436349434,0.975609756097561,0.8743929075075922,1.1398479319986294
