p_range,tf_q_limit,auc_perm_mean,auc_perm_ci_low,auc_perm_ci_high,enrichment@1pct_perm_mean,enrichment@1pct_perm_ci_low,enrichment@1pct_perm_ci_high,enrichment@5pct_perm_mean,enrichment@5pct_perm_ci_low,enrichment@5pct_perm_ci_high
100000-220000,1000000,0.499651277938581,0.4885693939791236,0.5083622090666129,0.9913960772200774,0.7152574517374518,1.2266464864864866,0.9959314285714288,0.8889142857142858,1.1321142857142856
100000-220000,2000000,0.49942851098795804,0.4912605532524317,0.5117435377395501,1.0071903726088458,0.6850270320247984,1.305564071494961,0.9946710785288078,0.8628478920886582,1.1292776452660174
100000-220000,5000000,0.5002075944365076,0.489152037623149,0.5128319513529387,0.9798224217898257,0.6604671360201047,1.312192795239943,0.9934031819945673,0.8787349631354288,1.139115250291036
100000-220000,10000000,0.49915679314221123,0.48981131448075477,0.5117010876042668,0.9994655264564405,0.6413682522715126,1.389631213254944,1.0092998396579371,0.8599679315873864,1.160342063067878
300000-420000,1000000,0.5008153680857225,0.49114819960120626,0.5130597923966838,1.0014798804242673,0.7590313668412658,1.2726274414105057,1.0160166406656268,0.8823452938117525,1.139365574622985
300000-420000,2000000,0.5000377032700062,0.4899651029261059,0.5090920380066772,0.9666438083235259,0.7393592868196941,1.2534878279322774,1.0029713778637872,0.9008634866898613,1.0995813622265804
300000-420000,5000000,0.4989566747444983,0.490236008494619,0.508205743637326,1.000288188386602,0.7300888542798945,1.2740952437498285,1.0024298164401935,0.8865025587566339,1.1573783405989386
300000-420000,10000000,0.49987223659301483,0.4861402968782241,0.5137750960886891,1.0081049695790696,0.5793706721718791,1.3167515276633615,1.0070489216201999,0.8650710152551289,1.1841136244082062
pooled,1000000,0.5001763259356359,0.4922729142053075,0.5068190916091558,0.986553198656349,0.804784483853332,1.1546907811808675,1.0009001338036736,0.9347402992336699,1.080403843814621
pooled,2000000,0.500267814937804,0.4946791188622096,0.5072856466832973,1.0065817112449238,0.8279652709704522,1.1623021985716286,1.0111188909116369,0.9367035429211595,1.0863324464360733
pooled,5000000,0.5005407094714763,0.49345065232033364,0.5072365210250023,0.9909347173342673,0.791691545002038,1.211782571003726,1.000337405441609,0.9283695816723015,1.0685840784083456
pooled,10000000,0.5001380736646152,0.4879650169914149,0.5088925243076923,0.9974416755037114,0.7427757158006362,1.2938887692205725,1.0016967126193002,0.9090668080593849,1.105779427359491
