rank,period_estimate,p,d,mode,fit_period,rel_error
1,4.794894316314387,29,3,p/(2d),4.833333333333333,0.008016655734863409
2,2.0549463893240074,29,7,p/(2d),2.0714285714285716,0.008020735815879927
3,2.271740005906516,23,5,p/(2d),2.3,0.012439801218452772
4,2.8769039847681217,23,4,p/(2d),2.875,0.0006618172793400207
5,16.077427322819684,31,1,p/(2d),15.5,0.035915405569901464
6,3.892336354018124,31,4,p/(2d),3.875,0.004453971199130141
7,2.162392507123599,17,4,p/(2d),2.125,0.01729219232882863
8,7.1921376965575865,29,2,p/(2d),7.25,0.008045216301977708
9,8.03833182919299,31,2,p/(2d),7.75,0.03586961017780432
10,8.743528803926633,17,1,p/(2d),8.5,0.027852462019369893
11,7.192443367758936,29,2,p/(2d),7.25,0.008002375451306156
12,12.269339520046401,23,1,p/(2d),11.5,0.0627042326760464
13,4.8653365149642065,29,3,p/(2d),4.833333333333333,0.006577794060583885
14,2.2967129906085444,23,5,p/(2d),2.3,0.0014311798665729211
15,19.46078656853726,19,1,p/d,19.0,0.023677694984961396
16,6.1346697600232005,31,5,p/d,6.2,0.010649349114523907
17,4.371764401963317,31,7,p/d,4.428571428571429,0.012994073189900337
18,2.6455571535767883,29,11,p/d,2.6363636363636362,0.0034750779058855233
19,2.0096068209616322,29,7,p/(2d),2.0714285714285716,0.030763107400957463
20,3.2806878101736974,23,7,p/d,3.2857142857142856,0.0015321407678599223
