win_start,occ_density,occ_density_expected,occ_error,row_nonempty_mean,row_nonempty_var
1,0.02321969696969697,0.02524973531175046,-0.002030038342053491,5.572727272727272,11.771983471074378
61,0.025170454545454544,0.02524973531175046,-7.928076629591663e-05,6.040909090909091,14.86650826446281
121,0.02534090909090909,0.02524973531175046,9.117377915862993e-05,6.081818181818182,17.67512396694215
181,0.025321969696969697,0.02524973531175046,7.223438521923586e-05,6.077272727272727,19.87130165289256
241,0.024886363636363637,0.02524973531175046,-0.0003633716753868241,5.972727272727273,21.481074380165285
301,0.02524621212121212,0.02524973531175046,-3.5231905383403817e-06,6.0590909090909095,23.001053719008265
361,0.025227272727272727,0.02524973531175046,-2.2462584477734443e-05,6.054545454545455,23.669752066115706
421,0.025132575757575756,0.02524973531175046,-0.00011715955417470475,6.031818181818182,24.394442148760334
481,0.025018939393939395,0.02524973531175046,-0.00023079591781106565,6.004545454545455,24.813615702479343
541,0.02528409090909091,0.02524973531175046,3.435559734044774e-05,6.068181818181818,26.099896694214877
601,0.02524621212121212,0.02524973531175046,-3.5231905383403817e-06,6.0590909090909095,26.24650826446281
661,0.025132575757575756,0.02524973531175046,-0.00011715955417470475,6.031818181818182,27.03080578512397
721,0.02505681818181818,0.02524973531175046,-0.000192917129932281,6.013636363636364,26.98617768595041
781,0.025208333333333333,0.02524973531175046,-4.1401978417128504e-05,6.05,27.574772727272723
841,0.025075757575757574,0.02524973531175046,-0.00017397773599288693,6.0181818181818185,27.372396694214878
901,0.02515151515151515,0.02524973531175046,-9.822016023531069e-05,6.036363636363636,28.389586776859506
961,0.025113636363636362,0.02524973531175046,-0.0001360989481140988,6.027272727272727,27.717438016528924
1021,0.02518939393939394,0.02524973531175046,-6.0341372356522566e-05,6.045454545454546,28.07066115702479
1081,0.02515151515151515,0.02524973531175046,-9.822016023531069e-05,6.036363636363636,28.94413223140496
1141,0.025208333333333333,0.02524973531175046,-4.1401978417128504e-05,6.05,29.620227272727266
1201,0.02490530303030303,0.02524973531175046,-0.00034443228144743,5.9772727272727275,28.794938016528928
1261,0.02505681818181818,0.02524973531175046,-0.000192917129932281,6.013636363636364,28.540723140495867
1321,0.025321969696969697,0.02524973531175046,7.223438521923586e-05,6.077272727272727,29.934938016528925
1381,0.02524621212121212,0.02524973531175046,-3.5231905383403817e-06,6.0590909090909095,30.619235537190086
1441,0.025094696969696968,0.02524973531175046,-0.00015503834205349287,6.0227272727272725,28.27675619834711
1501,0.025227272727272727,0.02524973531175046,-2.2462584477734443e-05,6.054545454545455,31.02429752066116
1561,0.02505681818181818,0.02524973531175046,-0.000192917129932281,6.013636363636364,29.777086776859502
1621,0.02515151515151515,0.02524973531175046,-9.822016023531069e-05,6.036363636363636,30.589586776859505
1681,0.02503787878787879,0.02524973531175046,-0.0002118565238716716,6.009090909090909,29.918099173553724
1741,0.025265151515151515,0.02524973531175046,1.541620340105368e-05,6.0636363636363635,30.895950413223144
1801,0.025094696969696968,0.02524973531175046,-0.00015503834205349287,6.0227272727272725,30.958574380165288
1861,0.02537878787878788,0.02524973531175046,0.00012905256703741805,6.090909090909091,30.837190082644636
1921,0.024981060606060607,0.02524973531175046,-0.00026867470568985377,5.995454545454545,29.549979338842977
1981,0.025,0.02524973531175046,-0.0002497353117504597,6.0,31.063636363636363
2041,0.025094696969696968,0.02524973531175046,-0.00015503834205349287,6.0227272727272725,30.52221074380165
2101,0.025132575757575756,0.02524973531175046,-0.00011715955417470475,6.031818181818182,31.30353305785124
2161,0.025208333333333333,0.02524973531175046,-4.1401978417128504e-05,6.05,30.920227272727278
2221,0.02518939393939394,0.02524973531175046,-6.0341372356522566e-05,6.045454545454546,31.261570247933882
2281,0.02515151515151515,0.02524973531175046,-9.822016023531069e-05,6.036363636363636,30.780495867768597
2341,0.025132575757575756,0.02524973531175046,-0.00011715955417470475,6.031818181818182,31.539896694214878
2401,0.02494318181818182,0.02524973531175046,-0.0003065534935686419,5.986363636363636,29.822541322314052
2461,0.02518939393939394,0.02524973531175046,-6.0341372356522566e-05,6.045454545454546,31.525206611570244
2521,0.02505681818181818,0.02524973531175046,-0.000192917129932281,6.013636363636364,30.431632231404954
2581,0.02528409090909091,0.02524973531175046,3.435559734044774e-05,6.068181818181818,33.027169421487606
2641,0.02518939393939394,0.02524973531175046,-6.0341372356522566e-05,6.045454545454546,32.56157024793388
2701,0.025113636363636362,0.02524973531175046,-0.0001360989481140988,6.027272727272727,31.962892561983466
2761,0.025018939393939395,0.02524973531175046,-0.00023079591781106565,6.004545454545455,32.59543388429753
