k,observed_density,baseline_1_over_k,error
1,1.0,1.0,0.0
2,0.5,0.5,0.0
3,0.33181818181818196,0.3333333333333333,-0.0015151515151513584
4,0.25,0.25,0.0
5,0.19999999999999998,0.2,-2.7755575615628914e-17
6,0.1636363636363638,0.16666666666666666,-0.0030303030303028555
7,0.14284332688588006,0.14285714285714285,-1.381597126279277e-05
8,0.12495164410058028,0.125,-4.8355899419719184e-05
9,0.11063829787234039,0.1111111111111111,-0.000472813238770714
10,0.09999999999999999,0.1,-1.3877787807814457e-17
11,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17
12,0.0818181818181819,0.08333333333333333,-0.0015151515151514278
13,0.07688588007736936,0.07692307692307693,-3.7196845707562765e-05
14,0.07137330754352034,0.07142857142857142,-5.526388505108781e-05
15,0.0636363636363636,0.06666666666666667,-0.0030303030303030637
16,0.06247582205029011,0.0625,-2.4177949709887347e-05
17,0.058800773694390705,0.058823529411764705,-2.2755717373999784e-05
18,0.05454545454545454,0.05555555555555555,-0.0010101010101010097
19,0.0525145067698259,0.05263157894736842,-0.0001170721775425182
20,0.049999999999999996,0.05,-6.938893903907228e-18
21,0.047485493230174064,0.047619047619047616,-0.00013355438887355242
22,0.045454545454545435,0.045454545454545456,-2.0816681711721685e-17
23,0.04342359767891683,0.043478260869565216,-5.466319064838937e-05
24,0.04090909090909095,0.041666666666666664,-0.0007575757575757139
25,0.03994197292069636,0.04,-5.8027079303642204e-05
26,0.03849129593810447,0.038461538461538464,2.975747656600719e-05
27,0.036847195357833665,0.037037037037037035,-0.00018984167920337025
28,0.03568665377176016,0.03571428571428571,-2.7631942525550846e-05
29,0.03433268858800773,0.034482758620689655,-0.00015007003268192182
30,0.0318181818181818,0.03333333333333333,-0.0015151515151515318
31,0.03220502901353963,0.03225806451612903,-5.303550258940054e-05
32,0.031237911025145056,0.03125,-1.2088974854943674e-05
33,0.030174081237911023,0.030303030303030304,-0.00012894906511928123
34,0.029400386847195353,0.029411764705882353,-1.1377858686999892e-05
35,0.028626692456479686,0.02857142857142857,5.526388505111557e-05
36,0.02727272727272727,0.027777777777777776,-0.0005050505050505048
37,0.026982591876208894,0.02702702702702703,-4.443515081813468e-05
38,0.026208897485493224,0.02631578947368421,-0.00010689198819098522
39,0.02543520309477755,0.02564102564102564,-0.00020582254624808977
40,0.024951644100580258,0.025,-4.835589941974347e-05
41,0.024371373307543506,0.024390243902439025,-1.8870594895518955e-05
42,0.023404255319148925,0.023809523809523808,-0.00040526849037488336
43,0.023210831721470006,0.023255813953488372,-4.498223201836529e-05
44,0.022727272727272717,0.022727272727272728,-1.0408340855860843e-17
45,0.021179883945841384,0.022222222222222223,-0.0010423382763808386
46,0.021663442940038673,0.021739130434782608,-7.568749474393469e-05
47,0.021276595744680844,0.02127659574468085,-6.938893903907228e-18
48,0.02040618955512572,0.020833333333333332,-0.0004271437782076108
49,0.020309477756286262,0.02040816326530612,-9.868550901985865e-05
50,0.01992263056092843,0.02,-7.736943907157151e-05
51,0.0195357833655706,0.0196078431372549,-7.205977168430258e-05
52,0.019245647969052225,0.019230769230769232,1.4878738282993187e-05
53,0.018858800773694392,0.018867924528301886,-9.123754607494317e-06
54,0.018181818181818184,0.018518518518518517,-0.0003367003367003331
55,0.018181818181818184,0.01818181818181818,3.469446951953614e-18
56,0.017794970986460355,0.017857142857142856,-6.217187068250155e-05
57,0.01731141199226306,0.017543859649122806,-0.00023244765685974736
58,0.017021276595744688,0.017241379310344827,-0.00022010271460013928
59,0.01663442940038685,0.01694915254237288,-0.00031472314198602996
60,0.013636363636363636,0.016666666666666666,-0.0030303030303030307
